Agency Name:,County of Court,Warrant Number,Submitted,Nature of the investigation,Primary Nature,Crime of Violence Options,Secondary Nature,Order Served on,Business Name,Items to be searched for:,Start Date for Info,End Date for Info,Grounds for Issuance,Reasons for Delay (if any),Emergency?,Facts giving rise to the emergency,fn,Submitted Year
Folsom Police Department ,Sacramento,,2017-08-02 15:21:00,"Criminal threats, stalking, and harassing investigation.  Search warrant is for Pinger, Inc., Google, Inc., AT&T Internet Services, and Level 3 Communications.",,,,Business,"Pinger, Inc., Google, Inc., AT&T Internet Services, Level 3 Communications","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2017-04-10 00:00:00,2017-08-02 00:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,eswn2017.xlsx,2017
Newport Beach Police Department,Orange,,2017-08-03 15:47:00,grand theft,,,,Business,"Google, Inc.","Communications (email, text, voice mail, or other communication)",2016-12-01 00:00:00,2017-01-31 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,otherwise seriously jeopardize an investigation or unduly delay a trial,No, ,eswn2017.xlsx,2017
Los Angeles Police Department,Los Angeles,,2017-08-08 09:21:00,187PC (Murder),,,,Business,Facebook / Instagram / Google,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-11-01 00:00:00,2017-05-09 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,eswn2017.xlsx,2017
Orange County District Attorney's Office,Orange,,2017-08-08 15:21:00,"Grand Theft, 487(a) PC_x000D_
Identity Theft, 530.5(a) PC_x000D_
Computer Intrusion, 502.1(a) PC",,,,Business,"Google, Inc","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-12-01 00:00:00,2017-05-03 00:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,eswn2017.xlsx,2017
Riverside County Sheriff's Dept.,Riverside,,2017-08-16 09:01:00,Missing persons investigation. Note: Subjects of the investigation are still missing and personal notice of service could not be made,,,,Business,"Snap Inc., Facebook Inc., Instagram LLC, Yahoo Inc., Google Inc.","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2017-04-10 00:00:00,2017-05-31 00:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,eswn2017.xlsx,2017
Rohnert Park DPS,Sonoma,,2017-06-01 17:21:00,Bomb Threat,,,,Business,Google,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2017-02-01 00:00:00,2017-03-15 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,otherwise seriously jeopardize an investigation or unduly delay a trial,No, ,eswn2017.xlsx,2017
Auburn Police Department,Placer,,2017-08-29 15:26:00,An unknown suspect took the identity of my victim along with his credit card to make several purchases at [redacted].,,,,Business,Centrilogic/Google/Yahoo,Basic subscriber information from a service provider,2017-04-12 00:00:00,2017-04-20 00:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
", ,No, ,eswn2017.xlsx,2017
California Deparment of Insurance,Los Angeles,,2017-09-18 14:11:00,"The referenced email addresses which I requested information on are those represented on the fraudulent insurance applications.  Through the issuance of a search warrant, I hoped to determine information relating to the person who subscribed for the email addresses, which were ultimately used to apply for the policies, and receive illegal commissions in the amount of $4,251.79. ",,,,Business,"Yahoo, Google Inc and Microsoft Corporation",Basic subscriber information from a service provider,2014-01-01 00:00:00,2017-08-30 00:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
",lead to destruction of or tampering with evidence,No, ,eswn2017.xlsx,2017
Los Angeles Police Dept,Los Angeles,,2017-09-25 15:07:00,Bomb Threat to three temples. ,,,,Business,TMobile Microsoft Google,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-10-01 00:00:00,2017-06-13 00:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring
",otherwise seriously jeopardize an investigation or unduly delay a trial,No, ,eswn2017.xlsx,2017
Los Angeles Police Department,Los Angeles,,2017-10-04 14:31:00,Bomb Threat Investigation,,,,Business,Google Inc.,Basic subscriber information from a service provider,2017-10-01 00:00:00,2017-10-02 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,lead to destruction of or tampering with evidence,Yes,E-mail claiming a bomb was placed at Union Station.,eswn2017.xlsx,2017
UCLA Police Department,Los Angeles,,2017-10-06 15:53:00,Bomb Threat,,,,Business,Google Inc.,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
",2017-08-02 00:00:00,2017-08-02 00:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
", ,Yes,Bomb threat to UCLA campus.,eswn2017.xlsx,2017
Northern California Computer Crimes Task Force,Napa,,2017-10-20 09:26:00,530.5 PC - Identity Theft ,,,,Business,"Google, Inc and AT&T","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-08-09 00:00:00,2016-09-01 00:00:00,was used as the means of committing a felony,otherwise seriously jeopardize an investigation or unduly delay a trial,No, ,eswn2017.xlsx,2017
Clovis Police Department,Fresno,,2017-10-20 10:25:00,Identity theft and grand theft of a vehicle.,,,,"Business
Device Only
",Google Inc.,Basic subscriber information from a service provider,2016-08-25 00:00:00,2016-09-25 00:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
", ,No, ,eswn2017.xlsx,2017
Whittier PD,Los Angeles,,2017-11-14 10:34:00,Child Pornography,,,,Business,"Google, Inc./Frontier Communications","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
",2017-01-17 00:00:00,2016-01-17 00:00:00,"tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring",lead to destruction of or tampering with evidence,No, ,eswn2017.xlsx,2017
Los Gatos Monte Sereno Police Department,Santa Clara,,2017-11-15 11:38:00,"Unknown suspect used a Gmail.com suspect email address to request that the victim business wire $29,500 into a subject's bank account in TEXAS. Search Warrant was to determine who established the suspect Gmail.com email account, when the account was opened, what IP address was used in opening the account, and what IP addresses sent communications to and from this account. ",,,,Business,Google Inc. ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
",2017-07-01 00:00:00,2017-10-10 00:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
",lead to destruction of or tampering with evidence,No, ,eswn2017.xlsx,2017
San Diego Sheriff's Department,San Diego,,2017-12-07 13:24:00,"Work at home scam in which the victim was sent, and cashed, counterfeit checks.",,,,Business,"Google, Inc","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2017-09-01 00:00:00,2017-11-15 00:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,eswn2017.xlsx,2017
Napa Police Department,Napa,,2017-12-07 15:28:00,Reported Violation of PC 311.11.,,,,Business,"AT&T Internet Services, AT&T Wireless, Snapchat, Inc., Google, Inc.","Basic subscriber information from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2017-09-01 00:00:00,2017-10-15 00:00:00,"tends to show that a felony has been committed or that a particular person has committed a felony
tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring
","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,eswn2017.xlsx,2017
Ontario Police Department,San Bernardino,,2017-12-12 10:51:00,Enticement / child exploitation,,,,Business,Google,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2017-02-24 00:00:00,2017-07-27 00:00:00,"was used as the means of committing a felony
tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring
", ,No, ,eswn2017.xlsx,2017
LAPD,Los Angeles,,2017-12-19 15:49:00,"On March 3, 2017, at 0552 hours suspect sent email from the email address [redacted].  The emails came from [redacted] through the Los Angeles World Airports website information line. The unknown target used the â€œComments/Contact Usâ€ link and under the category, â€œAirport Policeâ€ posted the comments, â€œHAWAII AIRLINES.TNT.â€, â€œJAPAN AIRLINES.TNT.â€, and â€œCHINA AIRLINES. TNT.â€ on the â€œGeneral Comment Formâ€ three separate times. TNT is the abbreviation for Trinitrotoluene, an explosive material commonly used for military, industrial, and mining applications.",,,,Business,Google Inc,Basic subscriber information from a service provider,2017-12-12 00:00:00,2017-12-19 00:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
",lead to destruction of or tampering with evidence,No, ,eswn2017.xlsx,2017
Arcadia Police Department,Los Angeles,,2017-12-20 08:03:00,Email hack and money was wired to the suspect's account as a result. ,,,,Business,Google Inc.,"Basic subscriber information from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2017-05-17 00:00:00,2017-06-30 00:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,eswn2017.xlsx,2017
Anaheim Police Department,Orange,,2017-12-21 14:33:00,Google email address used to create account used for fraudulent activity notification letter returned,,,,Business,Google,Basic subscriber information from a service provider,2017-08-01 00:00:00,2017-09-07 00:00:00,is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery,lead to destruction of or tampering with evidence,No, ,eswn2017.xlsx,2017
Anaheim Police Department,Orange,,2017-09-07 10:15:00,Fake emails accounts created on google used to set up a sexual assault,,,,Business,Google, ,2016-01-01 00:00:00,2016-10-01 00:00:00, ,lead to destruction of or tampering with evidence,No, ,eswn2017.xlsx,2017
Rohnert Park DPS,Sonoma,,2017-06-01 17:16:00,Bomb Threat,,,,Business,Google,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Communications (email, text, voice mail, or other communication)
",2017-02-01 00:00:00,2017-03-10 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,otherwise seriously jeopardize an investigation or unduly delay a trial,No, ,eswn2017.xlsx,2017
lasd,Los Angeles,,2017-08-10 14:51:00,id theft investigation,,,,Business,Google Inc.,"Basic subscriber information from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2017-02-01 00:00:00,2017-05-01 00:00:00,"was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,eswn2017.xlsx,2017
Alameda County District Attorney's Office,Alameda,,2017-05-24 09:50:00,A fire occurred at the Ghost Ship Warehouse on 12/02/16 killing 36 individuals.,,,,Business,Google Inc.,"Basic subscriber information from a service provider
Communications (email, text, voice mail, or other communication)
",2013-10-24 00:00:00,2016-12-31 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,eswn2017.xlsx,2017
Los Angeles Police Department,Los Angeles,,2017-03-21 17:35:00,Possession of Child Pornography 311.11(a) PC,,,,Business,Google,"Basic subscriber information from a service provider
Communications (email, text, voice mail, or other communication)
",2015-01-01 00:00:00,2017-03-17 00:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring
",lead to destruction of or tampering with evidence,No, ,eswn2017.xlsx,2017
Anaheim Police Department,Orange,,2017-03-16 13:01:00,Investigation into attempted computer hacking through the using of fraudulent phishing emails and addition of malicious software to computer systems.,,,,Business,Google Inc.,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2017-01-15 00:00:00,2017-02-15 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,lead to destruction of or tampering with evidence,No, ,eswn2017.xlsx,2017
El Dorado County Sheriff's Office,El Dorado,,2017-03-15 09:16:00,NCMEC Tip of possession of suspected child pornography.,,,,Business,"Google, Comcase, Hosting Svcs Inc, Tumblr","Basic subscriber information from a service provider
Other transactional and account records from a service provider
",2016-08-11 00:00:00,2016-10-11 00:00:00,"tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring","lead to flight from prosecution
lead to destruction of or tampering with evidence
",No, ,eswn2017.xlsx,2017
Modesto Police Department,Stanislaus,,2017-02-21 12:22:00,Child Pornography,,,,Business,"Google, AT&T","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Stored files (picture, documents, or other files)
",2016-01-01 00:00:00,2016-11-14 00:00:00,"tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring",lead to destruction of or tampering with evidence,No, ,eswn2017.xlsx,2017
Anaheim Police Department,Orange,,2017-02-16 11:08:00,To determine the origin and subscriber information related to an e-mail address,,,,Business,Google,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
",2016-06-01 00:00:00,2016-06-17 00:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,eswn2017.xlsx,2017
Santa Clara County Sheriff's Office,Santa Clara,,2017-02-15 16:00:00,"Records or information concerning an email account held by Google, Inc. These records were sought pursuant a search warrant signed by a judge. _x000D_
_x000D_
These records were requested for a criminal investigation pertaining to identity theft and credit card fraud related crimes that occurred within Santa Clara County during a period of time in 2016._x000D_
_x000D_
These records sought involve subscriber information, financial/billing records, electronic communication, stored data, connection logs, and transaction records, with my searching for records that specifically relate to the above mentioned investigation._x000D_
",,,,Business,"Google, Inc.","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Communications (email, text, voice mail, or other communication)
",2015-01-01 00:00:00,2016-09-22 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,eswn2017.xlsx,2017
"City of Clovis, CA - Police Department",Fresno,,2017-03-29 14:36:00,The investigation associated with this search warrant pertains to internet based fraud involving theft by false pretenses.,,,,Business,Google,"Communications (email, text, voice mail, or other communication)
IP Addresses
",2016-01-14 00:00:00,2016-06-30 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,lead to destruction of or tampering with evidence,No, ,eswn2017.xlsx,2017
Gilroy Police Department,Santa Clara,,2017-02-15 11:56:00,Missing Person,,,,Business,Google,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Communications (email, text, voice mail, or other communication)
",2015-12-01 00:00:00,2017-01-05 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, ,eswn2017.xlsx,2017
Rohnert Park Department of Public Safety,Sonoma,,2017-02-07 13:28:00,Victim of identity theft had her access card fraudulently used and the fraudulently purchased goods were being shipped to a residence in Rohnert Park.,,,,Business,Google,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
",2016-09-29 00:00:00,2016-10-03 00:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
",lead to destruction of or tampering with evidence,No, ,eswn2017.xlsx,2017
Butte County Sheriff Office ,Butte,,2017-02-03 09:04:00,this was a NCMEC cyber tip and trying to identify the owner of the IP address and Google accounts ,,,,Business,Google and Comcast,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2015-10-01 00:00:00,2016-12-28 00:00:00,"tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
",No, ,eswn2017.xlsx,2017
DAVIS POLICE DEPARTMENT,Yolo,,2017-02-02 15:32:00,Â§664/187 PC - ATTEMPTED MURDER,,,,Business,"GOOGLE, INC.","Other transactional and account records from a service provider
Communications (email, text, voice mail, or other communication)
",2017-01-01 00:00:00,2017-02-22 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, ,eswn2017.xlsx,2017
Ukiah Police Department,Mendocino,,2017-02-01 08:43:00,"Your affiant received a report from the National Center for Missing and Exploited Children (NCMEC) on October 17, 2016. NCMEC received a cyber tip which NCMEC created after being notified by Google of apparent child pornography found on one their storage programs. The report indicated the suspect's IP address was based in Ukiah, CA which is why the Ukiah Police Department (UPD) received this report. The NCMEC report identified two email addresses; [redacted]. These two digital uploaded files observed is found to depict children engaged in sexually explicit conduct or an exhibition of their genitalia, within the meaning of California Statue 311.4(d)(1), as defined in the California Penal Code.",,,,Device Only, ,Basic subscriber information from a service provider,2016-08-06 00:00:00,2016-09-06 00:00:00,"tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring",otherwise seriously jeopardize an investigation or unduly delay a trial,No, ,eswn2017.xlsx,2017
San Diego Sheriff's Department,San Diego,,2017-01-18 13:38:00,"This case involves an internet facilitated theft in which the suspect offered a vehicle for sale, but failed to deliver it after payment was made.",,,,Business,"Google, Inc","Basic subscriber information from a service provider
Stored files (picture, documents, or other files)
",2016-06-01 00:00:00,2016-11-15 00:00:00,was used as the means of committing a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
",No, ,eswn2017.xlsx,2017
Rohnert Park DPS,Sonoma,,2017-06-01 17:08:00,Bomb Threat,,,,Business,Google,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2017-02-01 00:00:00,2017-03-10 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,otherwise seriously jeopardize an investigation or unduly delay a trial,No, ,eswn2017.xlsx,2017
Los Angeles Police Department,Los Angeles,,2017-02-07 15:35:00,Bomb threat via internet,,,,Business,"Google Inc, Time Warner Cable LLC",Basic subscriber information from a service provider,2017-01-13 00:00:00,2017-01-17 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,lead to destruction of or tampering with evidence,No, ,eswn2017.xlsx,2017
California Highway Patrol,Santa Clara,,2017-04-04 15:37:00,"These records were requested for a criminal investigation pertaining criminal conspiracy in conjunction with computer based fraud that occurred within Santa Clara County during the first third of 2017._x000D_
These records sought involve subscriber information, financial/billing records, electronic communication, stored data,_x000D_
connection logs, and transaction records, with my searching for records that specifically relate to the above mentioned_x000D_
investigation.",,,,Business,Google and TextPlus,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2017-01-01 00:00:00,2017-04-04 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,lead to destruction of or tampering with evidence,No, ,eswn2017.xlsx,2017
Siskiyou County Sheriff Department,Siskiyou,,2017-01-12 08:45:00,"On July 6, 2016, there was two homicides in the county of Siskiyou.  One of the victims was[redacted].  The other victim was his wife, [redacted].  In the investigation[redacted]son, [redacted], was arrested and charged for two counts of homicide.  In Dec. 2016, I learned [redacted]  had a separate email account with the user name [redacted].  I authored a search warrant affidavit for[redacted] google gmail account for emails between him and his son, Damion.  From the time period specified 1-1-2016 through 7-26-2016.  I believe there are emails between them which would have evidence towards motive.  Judge Masunaga signed the warrant affidavit.   ",,,,Business,Google Inc.,"Basic subscriber information from a service provider
Communications (email, text, voice mail, or other communication)
IP History
",2016-01-01 00:00:00,2016-07-26 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, ,eswn2017.xlsx,2017
Sacramento Police Department,Sacramento,,2017-05-22 08:10:00,Homicide,,,,Business,Google,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2015-06-19 00:00:00,2017-05-10 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,eswn2017.xlsx,2017
Los Angeles Police Department,Los Angeles,,2017-04-12 08:31:00,"A criminal investigation regarding a threatening email sent to a local school, from the email addresses, IP addresses, and Google number. ",,,,Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-12-13 00:00:00,2017-01-09 00:00:00,"was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
",lead to destruction of or tampering with evidence,No, ,eswn2017.xlsx,2017
