Agency Name:,County of Court,Warrant Number,Submitted,Nature of the investigation,Items to be searched for:,Primary Nature,Crime of Violence Options,Secondary Nature,Order Served on,Business Name,Start Date for Info,End Date for Info,Grounds for Issuance,Reasons for Delay (if any),Emergency?,Facts giving rise to the emergency,fn,Submitted Year
Los Altos Police Department,Santa Clara,,2020-03-10 12:38:00,Two jewelry store burlgaries occurred in Los Altos in April 2019.  A geofence Search Warrant was obtained and the above listed search warrants are for subscriber information for the reference cellular phone numbers.,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Communications (email, text, voice mail, or other communication)
",Theft/Fraud,,,Device Only,,2019-04-15 0:00:00,2019-04-16 0:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No,,electronic-search-warrant-notifications.csv,2020
Los Altos Police Department,Santa Clara,,2020-03-12 6:10:00,"Two jewelry store burglaries occurred in Los Altos, CA.  After exhausting all leads, I obtained a geofence Search Warrant.  The attached Search Warrants are Stage 4 of the geofence process.  ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
Location information
Communications (email, text, voice mail, or other communication)
",Theft/Fraud,,,Device Only,,2019-04-01 0:00:00,2019-04-16 0:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,lead to destruction of or tampering with evidence,No,,electronic-search-warrant-notifications.csv,2020
Emeryville Police Dept.,Alameda,NONE,2021-07-14 16:46:00,"On 7/3/21 and 7/12/21, two carjacking and robberies occurred in Emeryville. The same suspect vehicle was used in both incidents. A reverse location warrant to Google LLC was sought to obtain location information and potentially identify the suspects.",Location information,Crime of Violence,"Assault
Robbery
",,Business,"Google, LLC",2021-07-03 0:00:00,2021-07-12 0:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No,,electronic-search-warrant-notifications.csv,2021
Los Gatos-Monte Sereno Police Department,Santa Clara,Not Yet Available,2020-02-15 8:49:00,This is a GEOFENCE search warrant to try to identify the subject who completed robberies at two credit unions in 2019.,Location information,Theft/Fraud,,,Device Only,,2019-09-26 0:00:00,2019-12-13 0:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,,No,,electronic-search-warrant-notifications.csv,2020
Santa Clara Police Department,Santa Clara,CSW60094,2020-12-23 13:25:00,PC 261 - Google Reverse Location Search,Location information,Crime of Violence,Rape,,Business,Google,2013-07-26 0:00:00,2013-07-26 0:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,endanger the life or physical safety of an individual,No,,electronic-search-warrant-notifications.csv,2020
Marina Police Department,Monterey,19-823,2021-02-25 8:37:00,"Subjects had forced entry into several businesses throughout Monterey county, and stole ATM Machines.  Due to the narrow time frame between events, a Google Geofence warrant was written to assist in identifying possible suspects.  ",ID number for subscribers in the area,Theft/Fraud,,,Device Only,,2019-04-04 0:00:00,2019-04-05 0:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No,,electronic-search-warrant-notifications.csv,2021
Los Gatos Monte Sereno Police Department,Santa Clara,CSW608-09,2021-03-22 14:35:00,Multiple commercial burglaries. Google geofence warrant used in an attempt to ID suspects.,Location information,Theft/Fraud,,,Business,Google,2021-12-20 0:00:00,2021-12-20 0:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
",No,,electronic-search-warrant-notifications.csv,2021
Los Gatos Monte Sereno Police Department,Santa Clara,CSW61037,2021-03-29 8:20:00,Three commercial burglaries that all occurred on the same night by the same suspects. A geofence warrant was used to attempt to ID suspects.,Location information,Theft/Fraud,,,Device Only,,2020-12-20 0:00:00,2020-12-20 0:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,,No,,electronic-search-warrant-notifications.csv,2021
Davis Police Department,Yolo,,2021-04-06 14:14:00,Sexual Assault in a public place by an unknown suspect.  Geo fence warrant obtained.,Basic subscriber information from a service provider,Crime of Violence,"Assault
Robbery
",,Device Only,,2020-08-11 0:00:00,2020-08-11 0:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,,No,,electronic-search-warrant-notifications.csv,2021
Orange PD,Orange,14291,2021-07-20 8:08:00,Robbery investigation geofence search warrant,Other transactional and account records from a service provider,Crime of Violence,Robbery,,Business,Google LLC,2021-03-14 0:00:00,2021-03-14 0:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
",No,,electronic-search-warrant-notifications.csv,2021
Orange PD,Orange,,2021-07-20 8:17:00,Robbery investigation geofence warrant,"Other transactional and account records from a service provider
Location information
",Crime of Violence,Robbery,,Business,Google LLC,2021-03-14 0:00:00,2021-03-14 0:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
",No,,electronic-search-warrant-notifications.csv,2021
Woodland Police Department,Yolo,SW#20-432,2021-07-16 8:36:00,"unknown suspect burned multiple vehicles, Google reverse location history warrant was obtained in an effort to locate a suspect.  ",Basic subscriber information from a service provider,ARSON,,,Device Only,,2020-11-09 0:00:00,2020-11-09 0:00:00,was used as the means of committing a felony,lead to destruction of or tampering with evidence,No,,electronic-search-warrant-notifications.csv,2021
Woodland Police Department,Yolo,SW#21-80,2021-07-16 8:47:00,"Multiple catalytic converter theft investigation, I obtained a Google reverse location history search warrant to located similar Google accounts at all locations",Basic subscriber information from a service provider,Theft/Fraud,,,Device Only,,2020-05-30 0:00:00,2020-06-04 0:00:00,was used as the means of committing a felony,,No,,electronic-search-warrant-notifications.csv,2021
